#Format: frequency (Hz)  ratio (dB)  phase (deg)
      407.95      -228.45     -73.8651
      411.73      -228.31     -73.0321
      415.55      -228.16      -72.207
      419.39      -228.02     -71.3911
      423.28      -227.87     -70.5821
       427.2      -227.73     -69.7811
      431.16      -227.59     -68.9881
      435.15      -227.44      -68.202
      439.18       -227.3     -67.4228
      443.25      -227.15     -66.6522
      447.35      -227.01     -65.8879
       451.5      -226.86     -65.1298
      455.68      -226.71     -64.3798
       459.9      -226.57     -63.6361
      464.16      -226.42     -62.8987
      468.46      -226.28     -62.1688
       472.8      -226.13     -61.4451
      477.18      -225.98     -60.7272
       481.6      -225.84      -60.015
      486.06      -225.69     -59.3097
      490.56      -225.55     -58.6101
       495.1       -225.4     -57.9157
      499.69      -225.25      -57.227
      504.32      -225.11      -56.544
      508.99      -224.96      -55.867
       513.7      -224.81      -55.195
      518.46      -224.66      -54.527
      523.26      -224.52      -53.865
      528.11      -224.37      -53.208
         533      -224.22      -52.555
      537.94      -224.07      -51.907
      542.92      -223.93      -51.263
      547.95      -223.78      -50.624
      553.02      -223.63      -49.989
      558.14      -223.48      -49.357
      563.31      -223.33      -48.729
      568.53      -223.18      -48.105
       573.8      -223.03      -47.484
      579.11      -222.88      -46.866
      584.48      -222.73       -46.25
      589.89      -222.58      -45.637
      595.35      -222.42      -45.026
      600.87      -222.27      -44.416
      606.43      -222.11      -43.808
      612.05      -221.95        -43.2
      617.72      -221.79      -42.592
      623.44      -221.63      -41.983
      629.22      -221.46      -41.373
      635.04      -221.28      -40.761
      640.92       -221.1      -40.148
      646.86       -220.9      -39.535
      652.85      -220.69      -38.931
       658.9      -220.44      -38.355
         665      -220.14      -37.873
      671.16      -219.74      -37.706
      677.38      -219.16      -38.742
      683.65      -218.54      -44.573
      689.98      -219.68      -53.216
      696.37      -220.82      -47.411
      702.82      -220.78      -42.239
      709.33      -220.55      -39.479
       715.9      -220.32      -37.778
      722.53       -220.1      -36.561
      729.23      -219.91      -35.594
      735.98      -219.73       -34.77
       742.8      -219.56      -34.034
      749.68      -219.39      -33.357
      756.62      -219.23      -32.721
      763.63      -219.08      -32.115
       770.7      -218.93      -31.532
      777.84      -218.78      -30.967
      785.05      -218.63      -30.416
      792.32      -218.49      -29.876
      799.65      -218.34      -29.347
      807.06       -218.2      -28.825
      814.54      -218.06      -28.311
      822.08      -217.93      -27.803
       829.7      -217.79      -27.301
      837.38      -217.65      -26.804
      845.14      -217.52      -26.311
      852.96      -217.38      -25.822
      860.87      -217.25      -25.337
      868.84      -217.12      -24.856
      876.89      -216.99      -24.377
      885.01      -216.86      -23.902
      893.21      -216.73      -23.429
      901.48       -216.6      -22.958
      909.83      -216.47      -22.491
      918.25      -216.35      -22.025
      926.76      -216.22      -21.561
      935.34       -216.1      -21.099
      944.01      -215.97      -20.639
      952.75      -215.85       -20.18
      961.58      -215.73      -19.723
      970.48       -215.6      -19.267
      979.47      -215.48      -18.812
      988.54      -215.37      -18.358
       997.7      -215.25      -17.906
      1006.9      -215.13      -17.454
      1016.3      -215.01      -17.002
      1025.7       -214.9      -16.552
      1035.2      -214.78      -16.101
      1044.8      -214.67      -15.651
      1054.4      -214.56      -15.202
      1064.2      -214.45      -14.752
      1074.1      -214.34      -14.302
        1084      -214.23      -13.852
        1094      -214.12      -13.401
      1104.2      -214.02      -12.949
      1114.4      -213.91      -12.496
      1124.7      -213.81      -12.043
      1135.2      -213.71      -11.589
      1145.7       -213.6      -11.133
      1156.3      -213.51      -10.675
        1167      -213.41      -10.216
      1177.8      -213.31     -9.75461
      1188.7      -213.22      -9.2908
      1199.7      -213.12     -8.82458
      1210.8      -213.03     -8.35562
        1222      -212.94     -7.88361
      1233.4      -212.85       -7.408
      1244.8      -212.77     -6.92838
      1256.3      -212.68     -6.44509
        1268       -212.6     -5.95762
      1279.7      -212.52      -5.4648
      1291.5      -212.44      -4.9672
      1303.5      -212.36      -4.4641
      1315.6      -212.28      -3.9545
      1327.8      -212.21       -3.439
      1340.1      -212.14      -2.9162
      1352.5      -212.07      -2.3861
        1365         -212      -1.8478
      1377.7      -211.94      -1.3011
      1390.4      -211.87     -0.74516
      1403.3      -211.81     -0.17932
      1416.3      -211.75      0.39704
      1429.4       -211.7     0.984101
      1442.6      -211.64       1.5835
        1456      -211.59       2.1958
      1469.5      -211.54       2.8211
      1483.1       -211.5       3.4609
      1496.8      -211.45       4.1161
      1510.7      -211.41       4.7871
      1524.7      -211.37       5.4758
      1538.8      -211.34       6.1821
      1553.1       -211.3      6.90758
      1567.5      -211.27      7.65368
        1582      -211.24      8.42042
      1596.6      -211.21      9.21041
      1611.4      -211.19       10.023
      1626.3      -211.17       10.862
      1641.4      -211.15       11.726
      1656.6      -211.13       12.618
        1672      -211.11       13.538
